MASV,DM1,DM2,DM3,DTC
4351190076,5.9,5.9,5.8,17.6
4351190074,7.1,6.7,6.4,20.2
4351190055,7.23,6.07,6.97,20.27
4351190060,6.9,6.64,6.78,20.32
4351200104,7.6,8.3,7.5,23.4
4351200107,6.2,7.1,6.7,20.0
4351200093,6.0,6.0,6.0,18.0
4351200103,8.2,7.8,7.2,23.2
4351200023,7.14,7.06,6.86,21.06
4351200027,7.17,6.7,6.07,19.94
4351200096,6.6,6.4,7.2,20.2
4351200034,6.63,6.87,6.53,20.03
4351200109,7.9,7.9,6.7,22.5
4351200043,6.07,6.43,6.43,18.93
4351200098,6.5,6.9,7.7,21.1
4351200102,7.6,7.7,7.2,22.5
4351200048,6.8,7.3,7.0,21.1
4351200054,6.32,8.0,7.38,21.7
4351200068,6.6,7.3,7.8,21.7
4351200100,6.3,6.8,7.7,20.8
4351200083,7.34,6.24,7.32,20.9
4351200084,6.2,5.8,7.8,19.8
4352020005,5.93,4.83,6.83,17.59
4352020006,5.92,6.42,7.28,19.62
4352020008,6.9,6.42,6.52,19.84
4352020013,7.44,7.96,7.56,22.96
4352020014,7.1,7.28,8.48,22.86
4352020020,8.5,7.22,9.12,24.84
4352020044,8.0,8.25,6.5,22.75
4352020038,6.9,8.2,8.1,23.2
4352030007,7.5,7.5,7.0,22.0
4352030011,7.07,6.97,7.03,21.07
4352030013,5.12,5.66,7.74,18.52
4352030036,6.93,6.3,7.97,21.2
4352030143,7.4,9.8,7.1,24.3
4352030038,7.0,7.7,7.3,22.0
4352030122,7.1,7.4,7.2,21.7
4352030046,7.5,6.5,7.6,21.6
4352030144,6.5,5.6,7.0,19.1
4352030124,5.7,6.6,8.8,21.1
4352030133,7.4,6.8,7.3,21.75
4352030053,6.02,5.62,6.98,18.62
4352030057,6.23,5.93,7.17,19.33
4352030058,6.4,7.4,6.1,19.9
4352030134,6.7,6.34,7.26,20.3
4352030061,6.26,6.56,6.9,19.72
4352030066,6.2,8.1,6.9,21.2
